psrname,phi,theta,pdist,toa_start,toa_end
J1909-3744,5.016907693694703,2.2294380892539754,1.26,4604430237.524393,5005007920.815787
J2317+1439,6.096234056439438,1.3149540661487507,1.89,4609948797.388613,5005447306.290298
J2043+1711,5.425129150092485,1.2707506044740895,1.0,4817687083.607223,5005438983.345704
J1600-3053,4.192564645729936,2.1100518385862626,2.4,4700216648.471901,5004468978.557669
J1918-0642,5.056221203218058,1.6879027748401025,1.4,4604434219.2651825,5004499173.961694
J0613-0200,1.6307175459823766,1.6059317587503308,0.9,4617975864.14018,5004530098.932011
J1944+0907,5.1668530688400685,1.4115689870014028,1.0,4709283251.178676,5003797615.96985
J1744-1134,4.644714530210828,1.7729381830516737,0.42,4597873783.54894,5004481267.546961
J1910+1256,5.018527100083937,1.3449438394361053,1.95,4741856601.3198805,5003791149.098038
J0030+0451,0.13289426392261716,1.4859553078688277,0.28,4613315356.340907,5005450635.030153
